name,stars,sell_price,mark_price,delivery_date
"Noise Buds VS104 in-Ear Truly Wireless Earbuds with 30H of Playtime, Instacharge(10 min=150 min), 13mm Driver, Mic, Hyper Sync (Charcoal Black)  ",3.9,0,0,"Today, 22 March"
"Duracell Ultra Alkaline AA Batteries, pack of 8  ",4.5,279,315,"Today, 22 March"
Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black)  ,4.2,13990,22900,"Fri, 24 Mar, 8:00 am - 3:00 pm"
Crucial BX500 500GB 2.5-inch SATA 3D NAND Internal SSD Upto 550 MB/s  ,4.5,2141,3900,"Today, 22 March"
"boAt BassHeads 122 Wired in Ear Earphones with Heavy Bass, Integrated Controls and Mic (Gun Metal)  ",3.9,399,1290,"Today, 22 March"
"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)  ",3.9,0,0,"Today, 22 March"
"SanDisk Ultra Flair 64GB USB 3.0 Pen Drive, Multicolor  ",4.3,479,1350,"Today, 22 March"
Canon PG-47 Ink Cartridge (Black)  ,4.2,667,702,"Today, 22 March"
SanDisk Ultra 128 GB USB 3.0 Pen Drive (Black)  ,4.3,819,2500,"Today, 22 March"
Kitwe Patient Multipara Monitor Wall Stand with Basket  ,not available,3999,5999,"Friday, 24 March"
Kitwe Patient Multipara Wall Mounting Monitor Stand (Pack of 1)  ,not available,6999,11999,"Friday, 24 March"
"Ndola Hospital Multipara Monitor Stand with Basket, Pack - 1  ",not available,3999,9999,"Friday, 24 March"
SHINING SUN VISION Smart LED Vision Chart 19 inch  ,3.5,19499,30000,"Wednesday, 29 March"
"ZORBES® Desktop Monitor Stand with USB A/C Ports, Phone Stand and Mini Drawer, Support Data Transfer, Charging, Multifunction Stand Riser for Desktop, Laptop, Monitor Black  ",not available,3999,5999,"Saturday, 25 March"
