celeb_id,celeb_name,profession,famous_for,img_link,profile_link
nm1869101,Ana de Armas,Actress,Blade Runner 2049,"https://m.media-amazon.com/images/M/MV5BMWM3MDMzNjMtODM5Ny00YmY0LWJhNzQtNTE1ZDNlNjllNDQ0XkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UY209_CR86,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1869101
nm0000612,Denise Richards,Actress,The World Is Not Enough,"https://m.media-amazon.com/images/M/MV5BMTQyNjYxNDU5OV5BMl5BanBnXkFtZTcwNTY5NDQwOA@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000612
nm0647634,Elizabeth Olsen,Actress,Martha Marcy May Marlene,"https://m.media-amazon.com/images/M/MV5BMjEzMjA0ODk1OF5BMl5BanBnXkFtZTcwMTA4ODM3OQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0647634
nm0000289,Ellen Barkin,Actress,The Fan,"https://m.media-amazon.com/images/M/MV5BMTI2OTk3MTgxNl5BMl5BanBnXkFtZTcwMTMxNDkxMw@@._V1_UY209_CR4,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000289
nm0001771,Stella Stevens,Actress,The Poseidon Adventure,"https://m.media-amazon.com/images/M/MV5BMTI3NDEwMzQzN15BMl5BanBnXkFtZTYwMDI3NTY0._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001771
nm0717709,Kelly Reilly,Actress,Pride & Prejudice,"https://m.media-amazon.com/images/M/MV5BNjgzMzk2MjEzM15BMl5BanBnXkFtZTgwMTkzMDEwMTE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0717709
nm1428821,Joey King,Actress,The Act,"https://m.media-amazon.com/images/M/MV5BODJmZjUyZDUtYWU1MC00YmNjLWEzODgtOTFlMDRjZDQ0ZjRlXkEyXkFqcGdeQXVyMjMzMjAyOA@@._V1_UY209_CR34,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1428821
nm0425005,Dwayne Johnson,Actor,Jumanji: Welcome to the Jungle,"https://m.media-amazon.com/images/M/MV5BMTkyNDQ3NzAxM15BMl5BanBnXkFtZTgwODIwMTQ0NTE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0425005
nm3218692,Madelyn Cline,Actress,Boy Erased,"https://m.media-amazon.com/images/M/MV5BMTkyYWJiYTktZDlkMC00ZmZjLWI4MjQtYmQwNzg1OGQ3NDJhXkEyXkFqcGdeQXVyMjA0MjY3MzI@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3218692
nm6884042,Katy M. O'Brian,Actress,Z Nation,"https://m.media-amazon.com/images/M/MV5BYWU4ZjQ5MzMtODU0ZC00MTBmLWI5ZWYtMWZhN2FiYTg2NmNjXkEyXkFqcGdeQXVyNTYyMDU5MzI@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm6884042
nm2201555,Aubrey Plaza,Actress,Safety Not Guaranteed,"https://m.media-amazon.com/images/M/MV5BMjIyMzYyMjQ5OV5BMl5BanBnXkFtZTcwMTA0MTkxNw@@._V1_UY209_CR3,0,140,209_AL_.jpg",https://www.imdb.com/name/nm2201555
